word,token,X,Y,formant,language
ei_C_F2,1,1,1672.370816,F2,Cantonese
ei_C_F2,1,2,1734.174388,F2,Cantonese
ei_C_F2,1,3,1941.884153,F2,Cantonese
ei_C_F2,1,4,2042.550514,F2,Cantonese
ei_C_F2,1,5,2123.477375,F2,Cantonese
ei_C_F2,1,6,2179.571057,F2,Cantonese
ei_C_F2,1,7,2207.760701,F2,Cantonese
ei_C_F2,1,8,2252.716731,F2,Cantonese
ei_C_F2,1,9,2272.084087,F2,Cantonese
ei_C_F2,1,10,2273.896787,F2,Cantonese
ei_C_F2,1,11,2191.605974,F2,Cantonese
ei_C_F2,2,1,1728.35358,F2,Cantonese
ei_C_F2,2,2,1860.497061,F2,Cantonese
ei_C_F2,2,3,1934.467979,F2,Cantonese
ei_C_F2,2,4,2036.267729,F2,Cantonese
ei_C_F2,2,5,2144.093219,F2,Cantonese
ei_C_F2,2,6,2168.93165,F2,Cantonese
ei_C_F2,2,7,2235.319191,F2,Cantonese
ei_C_F2,2,8,2276.653834,F2,Cantonese
ei_C_F2,2,9,2328.754259,F2,Cantonese
ei_C_F2,2,10,2320.152092,F2,Cantonese
ei_C_F2,2,11,2250.304869,F2,Cantonese
ei_C_F2,3,1,1716.244626,F2,Cantonese
ei_C_F2,3,2,1768.107254,F2,Cantonese
ei_C_F2,3,3,1906.375918,F2,Cantonese
ei_C_F2,3,4,2007.21284,F2,Cantonese
ei_C_F2,3,5,2096.334622,F2,Cantonese
ei_C_F2,3,6,2184.224199,F2,Cantonese
ei_C_F2,3,7,2192.182968,F2,Cantonese
ei_C_F2,3,8,2272.085777,F2,Cantonese
ei_C_F2,3,9,2325.753858,F2,Cantonese
ei_C_F2,3,10,2357.551155,F2,Cantonese
ei_C_F2,3,11,2248.27639,F2,Cantonese
ei_C_F2,4,1,1740.488028,F2,Cantonese
ei_C_F2,4,2,1777.784876,F2,Cantonese
ei_C_F2,4,3,1849.362568,F2,Cantonese
ei_C_F2,4,4,1949.59818,F2,Cantonese
ei_C_F2,4,5,2019.134209,F2,Cantonese
ei_C_F2,4,6,2057.41717,F2,Cantonese
ei_C_F2,4,7,2123.22662,F2,Cantonese
ei_C_F2,4,8,2159.88264,F2,Cantonese
ei_C_F2,4,9,2169.745461,F2,Cantonese
ei_C_F2,4,10,2142.20556,F2,Cantonese
ei_C_F2,4,11,2048.559026,F2,Cantonese
ei_C_F2,5,1,1702.862999,F2,Cantonese
ei_C_F2,5,2,1726.797774,F2,Cantonese
ei_C_F2,5,3,1850.968338,F2,Cantonese
ei_C_F2,5,4,1948.997127,F2,Cantonese
ei_C_F2,5,5,2023.869495,F2,Cantonese
ei_C_F2,5,6,2055.620888,F2,Cantonese
ei_C_F2,5,7,2085.6187,F2,Cantonese
ei_C_F2,5,8,2094.293563,F2,Cantonese
ei_C_F2,5,9,2129.496681,F2,Cantonese
ei_C_F2,5,10,2125.95178,F2,Cantonese
ei_C_F2,5,11,2055.884631,F2,Cantonese
ei_C_F2,6,1,1656.363876,F2,Cantonese
ei_C_F2,6,2,1679.663033,F2,Cantonese
ei_C_F2,6,3,1814.067558,F2,Cantonese
ei_C_F2,6,4,1922.12951,F2,Cantonese
ei_C_F2,6,5,2013.821265,F2,Cantonese
ei_C_F2,6,6,2076.202714,F2,Cantonese
ei_C_F2,6,7,2098.701393,F2,Cantonese
ei_C_F2,6,8,2114.045463,F2,Cantonese
ei_C_F2,6,9,2168.058937,F2,Cantonese
ei_C_F2,6,10,2165.266783,F2,Cantonese
ei_C_F2,6,11,2071.991056,F2,Cantonese
ei_C_F2,7,1,2079.585151,F2,Cantonese
ei_C_F2,7,2,1965.158935,F2,Cantonese
ei_C_F2,7,3,1972.489518,F2,Cantonese
ei_C_F2,7,4,1981.255559,F2,Cantonese
ei_C_F2,7,5,2013.474492,F2,Cantonese
ei_C_F2,7,6,2117.513101,F2,Cantonese
ei_C_F2,7,7,2210.616735,F2,Cantonese
ei_C_F2,7,8,2250.563469,F2,Cantonese
ei_C_F2,7,9,2245.045488,F2,Cantonese
ei_C_F2,7,10,2219.740411,F2,Cantonese
ei_C_F2,7,11,2086.918464,F2,Cantonese
ei_C_F2,8,1,2081.381928,F2,Cantonese
ei_C_F2,8,2,2044.559716,F2,Cantonese
ei_C_F2,8,3,2019.358124,F2,Cantonese
ei_C_F2,8,4,2061.824061,F2,Cantonese
ei_C_F2,8,5,2092.046743,F2,Cantonese
ei_C_F2,8,6,2162.203094,F2,Cantonese
ei_C_F2,8,7,2231.137373,F2,Cantonese
ei_C_F2,8,8,2298.549077,F2,Cantonese
ei_C_F2,8,9,2334.241984,F2,Cantonese
ei_C_F2,8,10,2325.26687,F2,Cantonese
ei_C_F2,8,11,2159.32827,F2,Cantonese
ei_C_F2,9,1,2073.495747,F2,Cantonese
ei_C_F2,9,2,2034.780976,F2,Cantonese
ei_C_F2,9,3,2039.661337,F2,Cantonese
ei_C_F2,9,4,2042.32559,F2,Cantonese
ei_C_F2,9,5,2084.640015,F2,Cantonese
ei_C_F2,9,6,2157.868639,F2,Cantonese
ei_C_F2,9,7,2177.989676,F2,Cantonese
ei_C_F2,9,8,2222.801941,F2,Cantonese
ei_C_F2,9,9,2259.511013,F2,Cantonese
ei_C_F2,9,10,2259.927051,F2,Cantonese
ei_C_F2,9,11,2161.393567,F2,Cantonese
ei_C_F2,10,1,1946.339454,F2,Cantonese
ei_C_F2,10,2,1930.158272,F2,Cantonese
ei_C_F2,10,3,1982.814512,F2,Cantonese
ei_C_F2,10,4,2042.216354,F2,Cantonese
ei_C_F2,10,5,2117.672885,F2,Cantonese
ei_C_F2,10,6,2162.543338,F2,Cantonese
ei_C_F2,10,7,2204.402555,F2,Cantonese
ei_C_F2,10,8,2253.335315,F2,Cantonese
ei_C_F2,10,9,2267.750348,F2,Cantonese
ei_C_F2,10,10,2246.930619,F2,Cantonese
ei_C_F2,10,11,2151.787657,F2,Cantonese
ei_C_F2,11,1,2030.571782,F2,Cantonese
ei_C_F2,11,2,2022.215736,F2,Cantonese
ei_C_F2,11,3,2072.231786,F2,Cantonese
ei_C_F2,11,4,2090.756599,F2,Cantonese
ei_C_F2,11,5,2121.346325,F2,Cantonese
ei_C_F2,11,6,2182.628524,F2,Cantonese
ei_C_F2,11,7,2227.081295,F2,Cantonese
ei_C_F2,11,8,2272.707955,F2,Cantonese
ei_C_F2,11,9,2284.255529,F2,Cantonese
ei_C_F2,11,10,2284.72494,F2,Cantonese
ei_C_F2,11,11,2184.859774,F2,Cantonese
ei_C_F2,12,1,1901.634984,F2,Cantonese
ei_C_F2,12,2,1902.256985,F2,Cantonese
ei_C_F2,12,3,1944.416795,F2,Cantonese
ei_C_F2,12,4,1999.77077,F2,Cantonese
ei_C_F2,12,5,2095.860526,F2,Cantonese
ei_C_F2,12,6,2163.345866,F2,Cantonese
ei_C_F2,12,7,2190.562287,F2,Cantonese
ei_C_F2,12,8,2226.472745,F2,Cantonese
ei_C_F2,12,9,2270.825684,F2,Cantonese
ei_C_F2,12,10,2251.818083,F2,Cantonese
ei_C_F2,12,11,2110.370283,F2,Cantonese
ei_C_F2,13,1,2120.951216,F2,Cantonese
ei_C_F2,13,2,2103.429976,F2,Cantonese
ei_C_F2,13,3,2080.83586,F2,Cantonese
ei_C_F2,13,4,2087.000814,F2,Cantonese
ei_C_F2,13,5,2157.694735,F2,Cantonese
ei_C_F2,13,6,2171.861157,F2,Cantonese
ei_C_F2,13,7,2210.343248,F2,Cantonese
ei_C_F2,13,8,2224.50453,F2,Cantonese
ei_C_F2,13,9,2269.593116,F2,Cantonese
ei_C_F2,13,10,2243.337305,F2,Cantonese
ei_C_F2,13,11,2105.158262,F2,Cantonese
ei_C_F2,14,1,2079.168597,F2,Cantonese
ei_C_F2,14,2,2062.916431,F2,Cantonese
ei_C_F2,14,3,2065.855056,F2,Cantonese
ei_C_F2,14,4,2088.312464,F2,Cantonese
ei_C_F2,14,5,2119.626044,F2,Cantonese
ei_C_F2,14,6,2176.442005,F2,Cantonese
ei_C_F2,14,7,2217.576998,F2,Cantonese
ei_C_F2,14,8,2291.196153,F2,Cantonese
ei_C_F2,14,9,2316.795494,F2,Cantonese
ei_C_F2,14,10,2275.493311,F2,Cantonese
ei_C_F2,14,11,2138.523899,F2,Cantonese
ei_C_F2,15,1,2141.529913,F2,Cantonese
ei_C_F2,15,2,2071.865123,F2,Cantonese
ei_C_F2,15,3,2059.649702,F2,Cantonese
ei_C_F2,15,4,2070.336979,F2,Cantonese
ei_C_F2,15,5,2118.909487,F2,Cantonese
ei_C_F2,15,6,2156.886618,F2,Cantonese
ei_C_F2,15,7,2200.330712,F2,Cantonese
ei_C_F2,15,8,2252.134807,F2,Cantonese
ei_C_F2,15,9,2270.316079,F2,Cantonese
ei_C_F2,15,10,2268.562822,F2,Cantonese
ei_C_F2,15,11,2194.38568,F2,Cantonese
ei_C_F2,16,1,1598.228725,F2,Cantonese
ei_C_F2,16,2,1769.165281,F2,Cantonese
ei_C_F2,16,3,1851.583143,F2,Cantonese
ei_C_F2,16,4,1936.317033,F2,Cantonese
ei_C_F2,16,5,2025.167206,F2,Cantonese
ei_C_F2,16,6,2070.111978,F2,Cantonese
ei_C_F2,16,7,2110.026412,F2,Cantonese
ei_C_F2,16,8,2198.468445,F2,Cantonese
ei_C_F2,16,9,2196.920001,F2,Cantonese
ei_C_F2,16,10,2188.234228,F2,Cantonese
ei_C_F2,16,11,2113.827761,F2,Cantonese
ei_C_F2,17,1,1578.904839,F2,Cantonese
ei_C_F2,17,2,1793.349232,F2,Cantonese
ei_C_F2,17,3,1893.25593,F2,Cantonese
ei_C_F2,17,4,1956.660251,F2,Cantonese
ei_C_F2,17,5,2064.223033,F2,Cantonese
ei_C_F2,17,6,2126.961045,F2,Cantonese
ei_C_F2,17,7,2170.299661,F2,Cantonese
ei_C_F2,17,8,2181.626273,F2,Cantonese
ei_C_F2,17,9,2196.032822,F2,Cantonese
ei_C_F2,17,10,2201.47203,F2,Cantonese
ei_C_F2,17,11,2130.152094,F2,Cantonese
ei_C_F2,18,1,1388.107653,F2,Cantonese
ei_C_F2,18,2,1574.481366,F2,Cantonese
ei_C_F2,18,3,1756.722006,F2,Cantonese
ei_C_F2,18,4,1868.33954,F2,Cantonese
ei_C_F2,18,5,1974.972172,F2,Cantonese
ei_C_F2,18,6,2033.903028,F2,Cantonese
ei_C_F2,18,7,2113.719952,F2,Cantonese
ei_C_F2,18,8,2128.680142,F2,Cantonese
ei_C_F2,18,9,2151.232087,F2,Cantonese
ei_C_F2,18,10,2173.580058,F2,Cantonese
ei_C_F2,18,11,2025.669511,F2,Cantonese
ei_E_F2,4,1,1750.526763,F2,English
ei_E_F2,4,2,1821.281741,F2,English
ei_E_F2,4,3,1896.604053,F2,English
ei_E_F2,4,4,1903.610484,F2,English
ei_E_F2,4,5,1905.850545,F2,English
ei_E_F2,4,6,1942.612898,F2,English
ei_E_F2,4,7,1999.63486,F2,English
ei_E_F2,4,8,2047.410199,F2,English
